"Time","OPERATIONAL_DEMAND NSW1","OPERATIONAL_DEMAND QLD1","OPERATIONAL_DEMAND SA1","OPERATIONAL_DEMAND TAS1","OPERATIONAL_DEMAND VIC1"
2024-01-01 00:00:00,6758,6403,1300,1071,4263
2024-01-01 00:30:00,6660,6243,1311,1057,4156
2024-01-01 01:00:00,6492,6204,1343,1069,4056
2024-01-01 01:30:00,6288,6141,1290,1066,3947
2024-01-01 02:00:00,6119,6067,1255,1055,3794
2024-01-01 02:30:00,6013,5941,1207,1041,3713
2024-01-01 03:00:00,5928,5864,1171,1034,3635
2024-01-01 03:30:00,5872,5808,1134,1043,3589
2024-01-01 04:00:00,5847,5765,1125,1047,3567
2024-01-01 04:30:00,5867,5747,1106,1045,3575
2024-01-01 05:00:00,5878,5728,1103,1030,3557
2024-01-01 05:30:00,5882,5721,1087,1048,3573
2024-01-01 06:00:00,5808,5682,1080,1040,3500
2024-01-01 06:30:00,5749,5684,1054,1037,3391
2024-01-01 07:00:00,5747,5665,967,1037,3202
2024-01-01 07:30:00,5724,5697,843,1037,2978
2024-01-01 08:00:00,5670,5706,749,1052,2794
2024-01-01 08:30:00,5917,5804,650,1052,2561
2024-01-01 09:00:00,6024,5809,537,1047,2337
2024-01-01 09:30:00,6116,5910,403,1034,2214
2024-01-01 10:00:00,6197,5943,301,1008,2049
2024-01-01 10:30:00,6216,5997,258,1008,1955
2024-01-01 11:00:00,6151,6137,265,977,1864
2024-01-01 11:30:00,6130,6213,285,977,1837
2024-01-01 12:00:00,6090,6236,352,977,1838
2024-01-01 12:30:00,5922,6199,566,982,1875
2024-01-01 13:00:00,5946,6065,544,984,1963
2024-01-01 13:30:00,6020,6098,440,989,2083
2024-01-01 14:00:00,6011,6196,669,1003,2243
2024-01-01 14:30:00,6105,6367,783,1023,2440
2024-01-01 15:00:00,6189,6472,739,1061,2591
2024-01-01 15:30:00,6412,6664,739,1072,2933
2024-01-01 16:00:00,6677,6828,967,1098,3224
2024-01-01 16:30:00,6924,6904,1128,1120,3411
2024-01-01 17:00:00,7254,7096,1120,1151,3773
2024-01-01 17:30:00,7495,7267,1166,1166,4220
2024-01-01 18:00:00,7669,7366,1262,1173,4610
2024-01-01 18:30:00,7779,7294,1301,1179,4809
2024-01-01 19:00:00,7829,7338,1359,1180,4875
2024-01-01 19:30:00,7864,7273,1413,1179,4846
2024-01-01 20:00:00,7850,7172,1467,1186,4829
2024-01-01 20:30:00,7719,7095,1469,1183,4781
2024-01-01 21:00:00,7560,6959,1454,1175,4634
2024-01-01 21:30:00,7516,6775,1429,1165,4493
2024-01-01 22:00:00,7418,6597,1394,1141,4382
2024-01-01 22:30:00,7391,6430,1346,1108,4281
2024-01-01 23:00:00,7274,6300,1314,1094,4208
2024-01-01 23:30:00,7096,6148,1292,1083,4304
2024-01-02 00:00:00,6975,6010,1355,1059,4267
2024-01-02 00:30:00,6778,5931,1369,1061,4112
2024-01-02 01:00:00,6569,5806,1383,1046,3994
2024-01-02 01:30:00,6363,5743,1345,1046,3904
