CDP,Region,Subregion,Technology,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52
CDP3,NSW,NNSW,Black coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,NSW,NNSW,Mid-merit gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,NSW,NNSW,Flexible gas with CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,NSW,NNSW,Flexible gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,NSW,NNSW,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,NSW,NNSW,Utility storage,0,0,30,505,705.00005307,705.00008216,1629.07233695,2129.0723544599996,2129.07236251,2129.07237211,2099.07237211,2099.07240193,2099.0724541600002,2099.0724614399996,2099.07462605,2099.07463478,2099.07463606,2099.07463736,2099.07463951,2099.07464437,2099.0746720899997,2599.07249698,2599.0724982,1924.07251627,1924.07247902,1924.07246484,1420.50279415,1420.50279415,1420.5028774
CDP3,NSW,NNSW,Coordinated CER storage,10.7406090777024,24.66041765,46.82361458,74.51343205,109.1675528,149.3120752,213.560631,270.11027024,328.38806969,392.57833435,462.96435108000003,543.68698212,629.843117,708.21313143,792.34943711,883.2847026999999,962.9994345,1043.9091091,1124.7293307999998,1209.4072157,1296.1115532,1388.6169612,1483.2815395,1571.0861338,1660.7022775,1751.1105653999998,1836.5476529999999,1874.4539002,1911.9732096
CDP3,NSW,NNSW,Passive CER storage,40.88463795,54.20057337,74.47136289,93.28540782,110.594864,124.5186387,142.4119873,164.9259151,185.554967,205.7294287,225.5552629,246.1158502,265.8490487,280.1895734,293.8871631,306.6884471,314.6099581,320.0813482,323.8867639,326.2702362,327.3039149,328.3511244,329.051583,326.6978515,324.1540419,319.6319218,313.4848852,323.3650471,332.7107757
CDP3,NSW,NNSW,Offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,NSW,NNSW,Wind,442.48,442.48,442.48,781.97254417,1106.2574685,2954.0687998999997,3388.62141239,4436.746731179999,4436.746731179999,4436.746731179999,4436.746731179999,7581.774483629999,7842.479921679999,7842.479921679999,7842.479921679999,7669.99992168,7669.99992168,7669.99992168,7669.99992168,7670.00000043,7400.00000043,7400.00000043,7400.00000043,7400.00000043,7400.00000043,7400.00000043,7400.00000043,7400.00000043,7400.00000043
