date,Battery (Charging) - MW,Pumps - MW,Coal (Brown) - MW,Coal (Black) - MW,Bioenergy (Biomass) - MW,Distillate - MW,Gas (Steam) - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Reciprocating) - MW,Gas (Waste Coal Mine) - MW,Battery (Discharging) - MW,Hydro - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-05-28T10:00:00Z,-329.66,-762,4376.19,7359.75,26.83,7.8,63,256.17,35.27,0,41.78,0.35,776.42,4647.8,3963.58,6681.52,431.62,550.59,0.05,0.36,3.02,8.73,1.94,0,2.13,441.38,36.92
2025-05-28T10:05:00Z,-442.79,-759.76,4406.09,7380.39,27.02,7.7,63,209.63,35.69,0,42.98,20.38,753.29,4641.36,3906.95,6849.6,434.51,551.78,0.05,0.36,3.02,7.17,1.97,0,2.19,442.59,56.95
2025-05-28T10:10:00Z,-291.75,-831.14,4389,7388.19,26.92,7.8,63,232.92,19.39,0,42.83,55.79,605.73,4699.42,3938.88,7017.68,432.69,552.13,0.05,0.36,3.02,7.95,0.98,0,2.19,438.25,56.95
2025-05-28T10:15:00Z,-271,-936.27,4372.5,7375.28,26.62,7.7,62,224.29,19.65,0,42.33,21.21,578.08,4643.05,4008.84,7185.75,430.91,551.01,0.05,0.36,2.98,7.66,0.99,0,2.16,436.89,56.95
2025-05-28T10:20:00Z,-374.69,-959.53,4334.25,7315,25.31,7.6,61,204.86,19.66,0,42.9,11.24,603.04,4644.47,4015.84,7353.83,426.94,546.36,0.05,0.36,2.93,7.01,0.99,0,2.19,433.7,56.95
2025-05-28T10:25:00Z,-315.17,-957.64,4327.63,7303.58,25.01,7.7,62,205.27,19.15,0,42.66,19.41,595.35,4618.74,3855.47,7521.9,426.14,545.25,0.05,0.36,2.98,7.02,0.97,0,2.18,432.45,38.61
2025-05-28T10:30:00Z,-425.44,-959.27,4283.22,7223.85,24.69,7.6,59,205.74,19.44,0,42.54,0.24,589.76,4484.9,4024.31,7689.98,421.68,539.16,0.05,0.36,2.83,7.04,0.98,0,2.17,428.71,8.95
2025-05-28T10:35:00Z,-588.79,-959.13,4266,7208.08,24.96,7.7,42,206.19,19.28,0,42.91,1.35,572.17,4621.24,3962.7,7811.14,419.9,537.71,0.05,0.36,2.02,7.05,0.97,0,2.19,427.46,36.92
2025-05-28T10:40:00Z,-538.94,-1037.38,4306.41,7256.02,24.37,7.7,43,205.62,19.18,0,42,6.47,554.45,4658.94,3882.72,7932.3,423.73,541.21,0.05,0.36,2.06,7.04,0.97,0,2.14,428.71,20.04
2025-05-28T10:45:00Z,-601.75,-1135.47,4261.19,7178.54,24.35,7.8,40,206.06,19.66,0,39.3,0.47,545.93,4665.01,4006.23,8053.46,419.31,535.44,0.05,0.36,1.92,7.05,0.99,0,1.99,424.94,8.95
