date,Battery (Charging) - MW,Pumps - MW,Exports - MW,Imports - MW,Coal (Black) - MW,Bioenergy (Biomass) - MW,Distillate - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Battery (Discharging) - MW,Hydro - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-12-11T12:50:00Z,-136.92,-381.5,-941.49,0,3448.71,33.82,0,0.18,15.64,0.25,7.17,580.86,3056.52,0,24.5,32.61,0,259.71,0.09,0,0.01,0.78,481.4,-33
2024-12-11T12:55:00Z,-112.85,-381.6,-804,63.49,3417.6,33.95,0,0.23,15.57,0,6.9,572.53,2892.39,0,24.6,28.36,3.64,257.31,0.09,0,0.01,0.78,502.37,-28.01
2024-12-11T13:00:00Z,-138.44,-381.7,-826.8,102.12,3389.92,33.53,0,0.19,15.42,0,7.31,609.23,2878.34,4860.77,24.7,28.95,5.69,255.28,0.09,0,0.01,0.77,270.14,-16.18
2024-12-11T13:05:00Z,-125.8,-380.1,-884.5,105.61,3447,34.36,0,0.21,15.5,0.08,7.02,612.61,2855.43,4863.8,24.77,31.33,6.12,259.52,0.1,0,0.01,0.78,272.96,-33
2024-12-11T13:10:00Z,-136.79,-383.1,-870.2,143.25,3380.98,34.84,0,0.18,15.73,23.86,6.93,611.23,2882.52,4866.83,24.83,30.3,8.21,254.65,0.1,0,0.01,0.79,272.27,-33
2024-12-11T13:15:00Z,-34.05,-382.1,-896.1,253.63,3405.57,34.65,0,0.18,15.62,23.84,7.14,658.87,2591.87,4869.86,24.9,32.39,14.14,256.49,0.1,0,0.01,0.78,285.77,-12.8
2024-12-11T13:20:00Z,-59.92,-380.1,-805.6,139.65,3436.99,33.72,0,0.23,15.65,24.01,6.93,698.92,2570.54,4872.9,24.97,29.19,8.17,258.84,0.09,0,0.01,0.79,278.79,-33
2024-12-11T13:25:00Z,-22.4,-380.8,-982.5,196.22,3439.36,33.75,0,0.2,15.34,1.87,15.87,690.13,2705.75,4875.93,25.03,35.05,11.14,258.97,0.09,0,0.01,0.77,277.67,-33
2024-12-11T13:30:00Z,-26.28,-382.7,-1049.5,366.44,3436.25,28.98,0,0.21,15.21,0.03,15.96,734.83,2606.04,4878.96,25.1,37.74,19.35,258.77,0.08,0,0.01,0.76,292.66,-28.01
2024-12-11T13:35:00Z,-39.12,-380.4,-788,79.63,3425.9,29.19,0,0.4,15.48,1.36,16.13,781.29,2566.42,4861.92,25.3,28.27,4.4,257.99,0.08,0,0.02,0.78,270.87,-33
