date,Battery (Charging) - MW,Pumps - MW,Exports - MW,Imports - MW,Coal (Black) - MW,Bioenergy (Biomass) - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Waste Coal Mine) - MW,Battery (Discharging) - MW,Hydro - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-02-12T09:40:00Z,-139.97,-487.91,-125.7,0,4169.83,-2.1,224.28,0.49,63.99,0,18.22,151.12,2274.43,0,28.13,5.45,0,307.55,NA,9.83,0.02,3.29,615.43,58.88
2025-02-12T09:45:00Z,-28.8,-487.71,-177.5,0,4211.11,-2.1,224.28,0.49,64.01,0,65.25,136.85,2418.27,0,28.15,7.55,0,310.6,NA,9.84,0.02,3.29,590.64,0
2025-02-12T09:50:00Z,-133.13,-485.94,-86.45,0,4226.01,-2.1,226.36,0.49,62.55,0.47,56.96,115.19,2384.77,0,28.17,3.71,0,311.65,NA,9.9,0.02,3.22,605.32,20
2025-02-12T09:55:00Z,-97.64,-486.81,-104.85,0,4158.2,-2.1,225.56,0.49,62.88,0,64.69,98.42,2424.92,0,28.18,4.46,0,306.69,NA,9.88,0.02,3.24,596.56,72.2
2025-02-12T10:00:00Z,-34.97,-486.76,-146.8,0,4277.64,-2,226.12,0.49,62.19,0.35,64.53,94.25,2338.61,3297.95,28.2,6.39,0,315.47,NA,9.89,0.02,3.2,398.95,20.92
2025-02-12T10:05:00Z,-47.02,-486.05,-271.95,0,4200.41,-2.1,226.63,0.49,61.87,0.01,64.77,93.06,2364.81,3352.97,28.35,11.71,0,309.78,NA,9.91,0.02,3.19,390.71,34.75
2025-02-12T10:10:00Z,-49.17,-486.35,-278.15,0,4183.8,-2.1,223.45,0.49,62.79,0,64.54,75.47,2372.61,3407.99,28.5,11.98,0,308.59,NA,9.79,0.02,3.23,388.07,81.4
2025-02-12T10:15:00Z,-3.39,-486.63,-357.95,0,4278.84,-2.1,225.54,0.49,62.61,0,64.47,75.1,2347.85,3463.01,28.65,15.6,0,315.57,NA,9.89,0.02,3.22,388.63,10.47
2025-02-12T10:20:00Z,-48,-487.02,-216.9,0,4222.1,-2.1,225.81,0.49,62.59,0,64.44,72.74,2264.28,3518.02,28.8,9.51,0,311.39,NA,9.88,0.02,3.22,390.65,34.75
2025-02-12T10:25:00Z,-55.4,-486.68,-244.35,0,4171.05,-2.1,224.74,0.49,62.23,0,64.35,71.31,2331.38,3573.04,28.95,10.57,0,307.68,NA,9.85,0.02,3.2,383.34,75.97
2025-02-12T10:30:00Z,-10.97,-485.5,-339,0,4259.61,-2.1,224.25,0.49,61.98,0,64.33,67.08,2402.95,3628.06,29.1,14.66,0,314.2,NA,9.83,0.02,3.19,380,-0.01
2025-02-12T10:35:00Z,-226.65,-485.47,-209.8,0,4204.5,-2.1,224.39,0.49,62.28,0,53.17,67.91,2416.3,3649.43,29.22,9.02,0,310.1,NA,9.84,0.02,3.21,386.46,33.75
2025-02-12T10:40:00Z,-93.8,-484.71,-275.2,0,4216.56,-2,226.82,0.49,62.71,0,64.78,63.59,2429.09,3670.8,29.33,11.82,0,310.93,NA,9.93,0.02,3.23,379.34,60.5
2025-02-12T10:45:00Z,-55.22,-484.99,-395.7,0,4295.61,-2.1,227.75,0.49,62.51,0,64.98,57.75,2477.06,3692.17,29.45,17.02,0,316.81,NA,9.97,0.02,3.22,377.85,18.04
2025-02-12T10:50:00Z,-137.97,-485.96,-310.4,0,4209.65,-2.1,224.97,0.49,62.42,0,64.5,56.97,2446.37,3713.55,29.57,13.3,0,310.48,NA,9.87,0.02,3.21,378.3,58.88
2025-02-12T10:55:00Z,-127.14,-484.08,-300.5,0,4299.96,-2.1,228.15,0.49,62.39,1.03,65.09,53.34,2287.72,3734.92,29.68,13.27,0,317.1,NA,9.97,0.02,3.21,387.45,81.87
2025-02-12T11:00:00Z,-145.26,-485.23,-312.6,0,4360.98,-2.1,224.9,0.49,61.74,0,64.84,48.59,2328.68,3756.29,29.8,13.81,0,321.62,NA,9.85,0.02,3.18,388.88,19.63
2025-02-12T11:05:00Z,-199.5,-484.74,-264.3,0,4293.06,-2.1,225.96,0.49,62.28,0,64.6,44.6,2365.91,3775.25,29.73,11.56,0,316.65,NA,9.9,0.02,3.21,386.45,58.88
2025-02-12T11:10:00Z,-129.25,-485.76,-304,0,4351.44,-2.1,224.37,0.49,61.46,0,64.42,45.18,2363.42,3794.22,29.67,13.36,0,320.93,NA,9.83,0.02,3.17,385.32,84.99
2025-02-12T11:15:00Z,-33.34,-483.83,-398,0,4456.8,-2.1,224.94,0.49,62.37,0,64.57,41.46,2406.9,3813.18,29.6,17.57,0,328.7,NA,9.86,0.02,3.21,383.19,21.65
2025-02-12T11:20:00Z,-164.8,-485.25,-323.5,0,4351.73,-2.1,222.43,0.49,61.92,0,64.2,52.52,2391.7,3832.15,29.53,14.16,0,321.02,NA,9.75,0.02,3.19,383.74,58.88
2025-02-12T11:25:00Z,-125.89,-485.38,-363.3,0,4436.66,-2.1,225.9,0.49,61.65,0,64.27,53.38,2332.26,3851.11,29.47,16.14,0,327.22,NA,9.9,0.02,3.18,387.11,55.75
2025-02-12T11:30:00Z,-220.5,-486.01,-253.05,0,4372.17,-2.1,224.22,0.49,61.79,0,64.27,51.45,2274.29,3870.07,29.4,11.27,0,322.48,NA,9.83,0.02,3.18,390.77,11.44
2025-02-12T11:35:00Z,-187.21,-484.14,-236.25,0,4307.71,-2.1,226.61,0.49,61.92,0,64.68,59.45,2269.13,3860.12,29.57,10.46,0,317.7,NA,9.92,0.02,3.19,386.76,84.99
2025-02-12T11:40:00Z,-75.88,-485.02,-340.1,0,4361.99,-2.1,223.54,0.49,61.87,0,64.7,52.27,2353.97,3850.17,29.73,14.97,0,321.72,NA,9.79,0.02,3.19,381.19,69.25
2025-02-12T11:45:00Z,-81.26,-485.73,-418.7,0,4414.92,-2.1,222.99,0.49,61.72,0.08,64.17,60.67,2459.42,3840.22,29.9,18.25,0,325.66,NA,9.77,0.02,3.18,379.28,18.39
2025-02-12T11:50:00Z,-273.35,-483.21,-316.55,0,4408.86,-2.1,229.73,0.49,62.33,0,64.64,66.91,2436.18,3830.27,30.07,13.82,0,325.13,NA,10.05,0.02,3.21,388.57,60.5
2025-02-12T11:55:00Z,-71.54,-484.65,-442.55,0,4420.9,-2.1,225.58,0.49,61.52,0,64.59,75.85,2480.13,3820.31,30.23,19.21,0,326.06,NA,9.89,0.02,3.17,378.3,57.73
2025-02-12T12:00:00Z,-178.83,-484.23,-416.5,0,4446.54,-2.1,224.92,0.49,62.3,0,64.39,76.72,2474.3,3810.36,30.4,18.13,0,327.96,NA,9.86,0.02,3.21,384.48,16.37
2025-02-12T12:05:00Z,-256.54,-483.99,-391.6,0,4312.51,-2.1,226.99,0.49,61.71,0,64.73,101.77,2507.37,3800.88,30.38,16.72,0,318.2,NA,9.93,0.02,3.18,379.72,58.88
2025-02-12T12:10:00Z,-115.58,-484.97,-467.45,0,4379.58,-2.1,225.42,0.49,61.95,0,64.63,104.67,2503.64,3791.4,30.37,20.08,0,323.13,NA,9.86,0.02,3.19,377.01,55.75
2025-02-12T12:15:00Z,-154.04,-483.83,-435.85,0,4361.13,-2.1,224.26,0.49,62.07,0,64.42,108.77,2463.79,3781.92,30.35,18.78,0,321.75,NA,9.83,0.02,3.19,379.55,35.06
2025-02-12T12:20:00Z,-128.81,-484.77,-352,0,4232.18,-2.1,224.91,0.49,62.19,0,64.39,105.39,2531.8,3772.43,30.33,14.86,0,312.31,NA,9.87,0.02,3.2,371.67,43
2025-02-12T12:25:00Z,-127.75,-481.7,-279.4,0,4194.51,-2,226.7,0.49,61.87,0,64.75,108.77,2445,3762.95,30.32,11.89,0,309.55,NA,9.92,0.02,3.19,373.91,84.99
2025-02-12T12:30:00Z,-18.68,-483.16,-328,0,4269.57,-2.1,223.49,0.49,61.73,0,64.4,101.19,2353.52,3753.47,30.3,14.24,0,315.02,NA,9.81,0.02,3.18,376.71,55.75
2025-02-12T12:35:00Z,-138.33,-481.68,-224.75,0,4301.68,-2.1,223.83,0.49,61.67,0,64.29,108.13,2313.78,3759.09,30.37,9.83,0,317.3,NA,9.81,0.02,3.18,385.11,57.73
2025-02-12T12:40:00Z,-103.08,-484.36,-313.55,0,4326.79,-2.1,223.43,0.49,62.07,0,64.09,101.68,2375.9,3764.71,30.43,13.63,0,319.12,NA,9.8,0.02,3.2,381.6,5.3
2025-02-12T12:45:00Z,-185.82,-481.93,-222.15,0,4314.29,-2.1,226.85,0.49,62.4,0,64.84,103.61,2431.51,3770.33,30.5,9.58,0,318.17,NA,9.91,0.02,3.21,382.94,24.12
2025-02-12T12:50:00Z,-92.82,-480.36,-201.7,0,4197.44,-2.1,228.36,0.49,63.25,0.23,64.82,91.08,2444.34,3775.95,30.57,8.6,0,309.63,NA,10,0.02,3.25,373.84,36.43
2025-02-12T12:55:00Z,-92.51,-482.47,-207.35,0,4222.27,-2,225.86,0.49,61.98,0.77,64.92,93.45,2381.02,3781.57,30.63,8.93,0,311.48,NA,9.87,0.02,3.19,376.95,57.73
2025-02-12T13:00:00Z,-132.07,-481.84,-190.15,0,4310.24,-2.1,225.55,0.49,62.64,0,64.73,103.86,2359.5,3787.19,30.7,8.27,0,317.87,NA,9.87,0.02,3.22,383.12,27.49
2025-02-12T13:05:00Z,-151.07,-481.54,-43.25,0,4241.85,-2,225.57,0.49,61.8,0.03,64.83,118.61,2320.62,3787.29,30.7,1.88,0,312.88,NA,9.88,0.02,3.18,383.42,58.88
2025-02-12T13:10:00Z,-43.06,-482.17,-132.6,0,4314.11,-2,223.55,0.49,62.52,0,64.42,117.89,2381.46,3787.38,30.7,5.74,0,318.15,NA,9.8,0.02,3.22,379.46,57.73
2025-02-12T13:15:00Z,-78.13,-481.66,-129.75,0,4342.6,-2,224.13,0.49,63.06,0,64.29,139.89,2405.52,3787.47,30.7,5.6,0,320.25,NA,9.82,0.02,3.24,380.5,21.04
2025-02-12T13:20:00Z,-171.07,-482.02,0,80.8,4261.96,-2,224.43,0.49,62.65,0,64.21,128.11,2392.19,3787.57,30.7,0,3.16,314.36,NA,9.83,0.02,3.22,389.49,47.1
2025-02-12T13:25:00Z,-170.86,-482.21,0,66.35,4235.42,-2,225.13,0.49,62.25,0,64.28,119.88,2475.44,3787.66,30.7,0,2.62,312.34,NA,9.87,0.02,3.2,384.09,34.75
2025-02-12T13:30:00Z,-115.24,-481.53,0,3.75,4180.21,-2,225.57,0.49,62.58,0,64.32,132.05,2543.75,3787.75,30.7,0,0.15,308.36,NA,9.88,0.02,3.22,371.32,-20.49
2025-02-12T13:35:00Z,-34.19,-481.15,0,38.95,4103.89,-2,227.39,0.49,62.33,2.25,64.79,139.58,2458.63,3756.28,30.72,0,1.55,302.76,NA,9.95,0.02,3.2,371.35,-20.49
2025-02-12T13:40:00Z,-120.67,-240.44,0,16.1,4071.07,-2,226.2,0.49,63.06,0,64.67,160.02,2410.25,3724.8,30.73,0,0.64,300.35,NA,9.89,0.02,3.24,364.54,44.94
2025-02-12T13:45:00Z,-0.67,-241.32,-160.7,0,4188.73,-2.1,227.13,0.49,62.4,1.3,64.83,154.77,2424.31,3693.33,30.75,7.03,0,308.94,NA,9.93,0.02,3.21,363.11,73.32
2025-02-12T13:50:00Z,-0.23,-240.67,-200.85,0,4291.27,-2.1,224.24,0.49,63.31,5.91,64.71,150.21,2442.07,3661.85,30.77,8.85,0,316.46,NA,9.81,0.02,3.25,367.91,55.75
2025-02-12T13:55:00Z,-6.45,-240.89,-164.25,0,4284.22,-2.1,227,0.49,62.66,1.59,64.83,135.41,2399.72,3630.38,30.78,7.29,0,315.89,NA,9.94,0.02,3.22,371.55,55.75
2025-02-12T14:00:00Z,-1.8,-240.09,-133.65,0,4272.48,-2.1,226.7,0.49,63.26,0.99,64.89,128.32,2434.43,3598.9,30.8,5.9,0,315.04,NA,9.91,0.02,3.25,371.44,75.33
2025-02-12T14:05:00Z,-0.63,-242.03,-231.4,0,4338.91,-2.1,226.1,0.49,62.74,0.1,64.77,140.55,2386.99,3579.26,30.73,10.33,0,319.97,NA,9.9,0.02,3.22,375.2,58.88
