date,Battery (Charging) - MW,Pumps - MW,Exports - MW,Imports - MW,Coal (Black) - MW,Bioenergy (Biomass) - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Waste Coal Mine) - MW,Battery (Discharging) - MW,Hydro - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh,Distillate - MW,Distillate Emissions Vol - tCO₂e
2025-04-13T16:20:00Z,-121.25,0,-715.35,0,4626.08,-1.1,471.45,0.1,45.48,0.11,86.68,593.3,1262.31,0,24.5,36.63,0,341.6,NA,18.87,0,2.33,626.46,60.88,NA,NA
2025-04-13T16:25:00Z,-1.17,0,-723.85,0,4683.08,-1.1,482.82,0.1,45.45,7.02,86.48,586.2,1164.73,0,24.3,37.69,0,345.8,NA,19.28,0,2.32,625.07,75.63,NA,NA
2025-04-13T16:30:00Z,-0.35,0,-711.55,0,4789.54,-1.2,494.12,0.1,46.17,9.46,86.47,593.31,1161.22,942.32,24.1,37.23,0,353.64,NA,19.71,0,2.36,548.18,99.31,NA,NA
2025-04-13T16:35:00Z,-0.69,0,-800.5,0,4990.16,-1.2,502.77,0.1,44.05,131.62,86.56,610.14,1116.04,861.5,24.03,41.84,0,368.8,NA,20,0,2.26,555.75,106.37,NA,NA
2025-04-13T16:40:00Z,-0.27,0,-838.45,0,5288.57,-1.1,512.73,0.1,45.74,109.16,86.72,590.61,897.08,780.67,23.97,46.08,0,391.18,NA,20.36,0,2.35,590.74,109.6,NA,NA
2025-04-13T16:45:00Z,0,0,-789.05,0,5394.72,-1.1,521.16,85.92,44.78,68.62,86.75,594.59,749.31,699.85,23.9,44.63,0,399.43,NA,20.67,4.36,2.3,615.06,148.2,NA,NA
2025-04-13T16:50:00Z,-0.35,0,-636.2,0,5482.47,-1.1,525.69,133.62,45.77,21.83,86.33,592.08,727.19,619.03,23.83,36.45,0,406.39,NA,20.83,6.67,2.35,631.55,143.93,NA,NA
2025-04-13T16:55:00Z,-3.25,0,-860.15,0,5545.12,-1.1,535.87,163.36,42.99,69.94,249.33,563.38,644.61,538.2,23.77,48.75,0,411.43,NA,21.18,8.11,2.22,631.68,146.92,NA,NA
2025-04-13T17:00:00Z,-0.5,0,-809.65,0,5563.71,-1.1,540.81,197.83,44.6,63.39,250.18,608.22,552.9,457.38,23.7,46.2,0,412.87,NA,21.37,9.78,2.3,642.95,205.51,NA,NA
2025-04-13T17:05:00Z,-7.54,0,-786.1,0,5520.9,-1.1,547.1,193.81,46.35,98.19,511.8,601.98,505.38,402.62,23.58,43.42,0,409.74,NA,21.63,9.57,2.38,628.65,163.55,NA,NA
