date,Battery (Charging) - MW,Pumps - MW,Exports - MW,Imports - MW,Coal (Black) - MW,Bioenergy (Biomass) - MW,Distillate - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Waste Coal Mine) - MW,Battery (Discharging) - MW,Hydro - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-12-11T12:50:00Z,-33.15,-488.66,0,912.2,3851.95,48.6,0,231.96,0.28,40.96,1.67,64.82,54.07,1738.71,0,25.8,0,31.59,286.31,0.11,0,10.2,0.01,2.09,861.88,32.25
2024-12-11T12:55:00Z,-0.54,-489.5,0,804,3847.04,45.9,0,230,0.28,40.48,0,64.78,56.88,1786.19,0,25.95,0,28.36,285.96,0.1,0,10.13,0.01,2.07,820.4,0
2024-12-11T13:00:00Z,-75.46,-488.28,0,826.8,3830.39,44.4,0,228.37,0.28,41,0,64.36,56.13,1882.38,2392.05,26.1,0,28.95,284.76,0.1,0,10.09,0.01,2.09,547.22,-18.89
2024-12-11T13:05:00Z,-162.7,-487.17,0,884.5,3901.52,42.8,0,270.73,0.28,41.16,0,64.54,51.55,1833.43,2374.9,26.1,0,31.33,289.99,0.1,0,11.61,0.01,2.1,570.74,0
2024-12-11T13:10:00Z,-193.52,-491.7,0,870.2,3857.15,42.5,0,278.05,0.28,41.45,0,64.29,49.45,2005.05,2357.75,26.1,0,30.3,286.69,0.09,0,11.87,0.01,2.11,556.4,-15.74
2024-12-11T13:15:00Z,-159.48,-487.27,0,896.1,3896.77,40.3,0,284.97,0.28,41.68,0,64.25,50.84,1971.81,2340.6,26.1,0,32.39,289.63,0.09,0,12.14,0.01,2.12,564.68,-15
2024-12-11T13:20:00Z,-157.8,-487.76,0,805.6,3931.24,41,0,287.07,0.28,42.44,1.55,64.31,59.68,1923.97,2323.45,26.1,0,29.19,292.1,0.09,0,12.21,0.01,2.16,557.77,-18.89
2024-12-11T13:25:00Z,-238.54,-487.36,0,982.5,3951.42,40.4,0,290.32,0.28,42.74,0.61,64.77,55.55,1787.55,2306.3,26.1,0,35.05,293.7,0.09,0,12.32,0.01,2.18,603.13,0
2024-12-11T13:30:00Z,-115.53,-487.26,0,1049.5,3945.83,41.2,0,290.17,0.28,42.75,0.11,64.71,61.23,1663.07,2289.15,26.1,0,37.74,293.31,0.09,0,12.31,0.01,2.18,614.82,37.16
2024-12-11T13:35:00Z,-0.45,-485.15,0,788,4007.21,43.3,0,290.3,0.28,42.66,1.84,64.43,51.51,1810.36,2246.28,26.08,0,28.27,297.73,0.1,0,12.32,0.01,2.17,561.07,44.75
2024-12-11T13:40:00Z,-0.45,-486.56,0,838,4061.68,41.7,0,342.47,0.28,42.62,4.64,64.94,48.87,1800.88,2203.41,26.07,0,30.23,301.72,0.09,0,14.21,0.01,2.17,573.84,44.95
2024-12-11T13:45:00Z,-7.09,-488.02,0,805.4,4055.82,41.5,0,334.58,0.28,42.44,0,64.34,48.05,1845.32,2160.54,26.05,0,28.27,301.25,0.09,0,13.92,0.01,2.16,568.88,34.75
2024-12-11T13:50:00Z,-1.48,-485.25,0,1081.3,4071.7,43,0,344.29,0.28,42.89,6.29,64.87,48.5,1559.33,2117.68,26.03,0,38.2,302.53,0.1,0,14.26,0.01,2.18,636.99,200
2024-12-11T13:55:00Z,-2.6,-486.12,0,1010.7,4205.22,41.5,0,343.83,0.28,42.72,23.54,64.89,63.15,1521.98,2074.81,26.02,0,36.85,312.84,0.09,0,14.26,0.01,2.17,638.55,200
2024-12-11T14:00:00Z,-2.16,-488.4,0,770.1,4378.43,40.8,0,336.49,0.28,43.01,45.15,64.67,72.86,1609.6,2031.94,26,0,27.51,325.96,0.09,0,13.99,0.01,2.19,602.65,54.95
2024-12-11T14:05:00Z,-4.1,-243.25,0,723.3,4254.12,42.5,0,337.96,0.28,42.72,0.31,64.24,77.26,1602.18,1984.31,25.98,0,27.03,316.43,0.1,0,14.04,0.01,2.17,580.67,54.95
2024-12-11T14:10:00Z,-1.48,-242.54,0,808.6,4156.11,45.1,0,394.46,0.28,43.66,2.68,64.57,78.43,1604.11,1936.69,25.97,0,29.93,308.8,0.1,0,16.1,0.01,2.22,589.25,84.99
2024-12-11T14:15:00Z,-57.33,-243.9,0,795.2,4246.12,43.9,0,409.08,0.28,43.7,0.87,64.33,74.54,1717.97,1889.07,25.95,0,29.77,315.43,0.1,0,16.63,0.01,2.23,591.07,84.99
2024-12-11T14:20:00Z,-86.63,-242.79,0,784.8,4346.49,43,0,414.72,0.28,43.84,2.44,64.53,59,1625.01,1841.44,25.93,0,28.78,322.83,0.09,0,16.83,0.01,2.23,607.29,121.8
2024-12-11T14:25:00Z,-152.27,-242.33,0,727.6,4467.97,45.5,0,408.66,0.28,44.52,0.6,64.59,46.21,1633.89,1793.82,25.92,0,27.4,332.19,0.1,0,16.63,0.01,2.27,615.3,99.75
2024-12-11T14:30:00Z,-101.39,-244.96,0,697.2,4402.6,42.8,0,407.99,0.28,44.49,0.6,64.42,53.96,1655.53,1746.19,25.9,0,25.54,327.14,0.09,0,16.57,0.01,2.26,604.65,77.95
2024-12-11T14:35:00Z,-150.01,-243.48,0,738.8,4357.72,41.6,0,409.19,0.28,45.1,0.61,64.65,58.16,1639.88,1740.89,25.9,0,27.71,323.84,0.09,0,16.63,0.01,2.29,615.42,57.66
2024-12-11T14:40:00Z,-47.4,-244.95,0,482.4,4260.62,41,0,460.2,0.28,45.77,0.6,64.27,63.66,1832.77,1735.59,25.9,0,18.12,316.72,0.09,0,18.47,0.01,2.33,552.26,54.95
2024-12-11T14:45:00Z,-225.66,-243.43,0,779.7,4240.48,41.5,0,485.8,0.28,45.68,1.55,64.5,64.4,1658.68,1730.29,25.9,0,28.18,315.15,0.09,0,19.41,0.01,2.32,618.54,55.75
2024-12-11T14:50:00Z,-167.51,-242.1,0,820.4,4259.61,42.2,0,482.61,0.28,45.62,1.03,64.71,77.43,1547.8,1724.99,25.9,0,29.54,316.47,0.1,0,19.28,0.01,2.32,628.92,84.99
2024-12-11T14:55:00Z,-144.36,-244.43,0,696.3,4298.49,39.4,0,473.94,0.28,45.89,0.6,64.03,71.2,1629.18,1719.69,25.9,0,26.51,319.39,0.09,0,18.98,0.01,2.33,607.31,42.76
2024-12-11T15:00:00Z,0,-242.87,0,673.9,4256.67,45.3,0,487.45,0.28,45.6,4.73,64.59,64.14,1636.29,1714.39,25.9,0,26.93,316.3,0.1,0,19.47,0.01,2.32,591.9,84.99
2024-12-11T15:05:00Z,-123.02,-243.87,0,754.4,4346.94,43.4,0,542.1,0.28,45.51,1.84,64.93,76.55,1671.62,1667.3,25.88,0,28.39,322.96,0.1,0,21.44,0.01,2.31,613.49,84.99
2024-12-11T15:10:00Z,-46.49,-243.26,0,619.8,4373.34,43.4,0,498.49,0.28,45.9,1.17,64.81,90.28,1789.12,1620.21,25.87,0,24.09,325,0.1,0,19.87,0.01,2.33,585.09,84.99
2024-12-11T15:15:00Z,-34.22,-243.16,0,574.1,4362.55,46.1,0,544.71,0.28,44.98,0.58,64.61,87.85,1820.42,1573.12,25.85,0,21.53,324.22,0.1,0,21.54,0.01,2.28,576.61,91.36
2024-12-11T15:20:00Z,-3.47,-244.24,0,531,4331.65,45.1,0,589.02,0.28,42.99,0,64.28,100.65,1825.28,1526.03,25.83,0,19.47,321.95,0.1,0,23.15,0.01,2.18,568.29,99.75
2024-12-11T15:25:00Z,-183.75,-244.78,0,693.4,4453.02,54.1,0,616.77,0.28,43.14,0.3,64.49,103.93,1741.64,1478.94,25.82,0,25.55,331.26,0.11,0,24.25,0.01,2.19,618.78,112.75
2024-12-11T15:30:00Z,-250.03,-244.07,0,687.6,4557.88,54.4,0,633.03,0.28,43.02,0.49,64.58,97.29,1705.97,1431.85,25.8,0,25.52,339.31,0.12,0,24.84,0.01,2.18,635.03,77.73
2024-12-11T15:35:00Z,-29.18,-242.43,0,617,4396.5,51.1,0,634.11,0.28,41.82,0,64.55,102.6,1791.53,1380.53,25.7,0,23.16,327.14,0.11,0,25,0.01,2.12,598.11,99.95
2024-12-11T15:40:00Z,-178.23,-243.26,0,720.7,4497.68,44.7,0,682.52,0.28,42.36,0.52,64.06,109.93,1651.62,1329.21,25.6,0,27.69,334.82,0.1,0,26.44,0.01,2.14,644.77,77.95
2024-12-11T15:45:00Z,-159.5,-241.65,0,765.9,4430.51,44.7,0,700.78,40.74,42.12,0,64.51,117.22,1615.82,1277.89,25.5,0,29.81,329.61,0.1,0,27.07,1.97,2.13,654.13,53.64
2024-12-11T15:50:00Z,-3.8,-244.34,0,876.6,4275.94,48.2,0,710.48,91.16,41.79,0,64.92,124.66,1492.4,1226.56,25.4,0,34.92,317.8,0.1,0,27.43,4.41,2.11,667.71,93.83
2024-12-11T15:55:00Z,-44.48,-243.3,0,723.4,4398.43,47.5,0,723.27,136.49,39.51,0.01,64.52,145.5,1491.83,1175.24,25.3,0,28.21,327.22,0.11,0,27.9,6.6,1.99,652.36,77.95
2024-12-11T16:00:00Z,-4.17,-243.91,0,862.6,4336.75,45.7,0,762.06,150.15,40,0,64.5,161.3,1357.33,1123.92,25.2,0,33.72,322.31,0.1,0,29.17,7.26,2.01,683.15,104.41
2024-12-11T16:05:00Z,-47.46,-241.88,0,870.6,4500.58,45.5,0,774.03,148.82,41.23,39.99,64.81,173.2,1134.07,1089.95,25.23,0,34.22,334.59,0.1,0,29.59,7.2,2.08,714.12,84.99
2024-12-11T16:10:00Z,-77.66,0,0,861.5,4467.55,47.5,0,768.91,148.75,38.66,0,64.14,171.68,991.71,1055.99,25.27,0,35.25,331.64,0.11,0,29.4,7.2,1.95,714.01,178.95
2024-12-11T16:15:00Z,-231.53,0,0,885.8,4696.49,49.9,0,779.61,181.89,39.62,0.42,64.63,174.91,926.37,1022.02,25.3,0,37.05,348.77,0.11,0,29.77,8.83,2,750.66,93.83
2024-12-11T16:20:00Z,-150.11,0,0,779.7,4726.45,45.8,0,832.04,215.15,42.69,0,64.22,172.44,886.7,988.05,25.33,0,33.73,351.29,0.1,0,31.5,10.47,2.16,731.29,93.83
2024-12-11T16:25:00Z,-156.6,0,0,625.1,4708.78,45.2,0,902.59,264.03,42.31,0,63.97,184.93,918.91,954.08,25.37,0,26.62,349.87,0.1,0,33.89,12.99,2.14,699.35,-18.05
