date,Battery (Charging) - MW,Exports - MW,Imports - MW,Distillate - MW,Gas (Steam) - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Reciprocating) - MW,Battery (Discharging) - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-05-28T10:00:00Z,-34.72,0,729.2,0,63,255.95,16.29,0,0.15,389.42,124.54,328.58,14.3,0,44.63,0,3.02,8.72,0.99,0,1662.69,70.44
2025-05-28T10:05:00Z,-5.89,0,721.42,0,63,209.41,16.41,0,4.89,393.94,137.2,351.77,14.4,0,44.08,0,3.02,7.17,1,0,1476.14,73.19
2025-05-28T10:10:00Z,-1.45,0,707.99,0,63,232.7,0.28,0,7.26,398.04,154.03,374.95,14.5,0,43.54,0,3.02,7.94,0.02,0,1256.2,70.44
2025-05-28T10:15:00Z,-2.58,0,680.19,-0.1,62,224.07,0.28,0,7.7,403.67,176.97,398.14,14.6,0,42.19,0,2.98,7.65,0.02,0,1074.83,66.16
2025-05-28T10:20:00Z,-3.3,0,671.24,-0.2,61,204.64,0.28,0,10.26,424.52,180.42,421.32,14.7,0,41.77,0,2.93,7,0.02,0,988.75,64.53
2025-05-28T10:25:00Z,-0.34,0,652.88,-0.1,62,205.05,0.28,0,17.69,420.15,180.98,444.51,14.8,0,40.58,0,2.98,7.02,0.02,0,896.21,44.85
2025-05-28T10:30:00Z,-68.59,0,679.55,-0.1,59,205.52,0.28,0,0.24,417.89,200.64,467.69,14.9,0,42.05,0,2.83,7.03,0.02,0,1033.36,10.01
2025-05-28T10:35:00Z,-13.57,0,654.15,-0.1,42,205.97,0.28,0,0.23,418.8,200.41,488.39,15.05,0,40.18,0,2.02,7.05,0.02,0,858.98,47.36
2025-05-28T10:40:00Z,-127.4,0,700.62,-0.1,43,205.4,0.28,0,3.64,424.46,213.14,509.09,15.2,0,42.87,0,2.06,7.03,0.02,0,1092.53,22.77
2025-05-28T10:45:00Z,-92.82,0,682.58,0,40,205.84,0.28,0,0.47,401.72,205.6,529.8,15.35,0,40.94,0,1.92,7.04,0.02,0,984.9,10.15
2025-05-28T10:50:00Z,-95.63,0,691.93,0,40,204.79,0.28,0,0.71,383.25,195.23,550.5,15.5,0,40.69,0,1.92,7.01,0.02,0,1014.32,11.27
2025-05-28T10:55:00Z,-122.81,0,702.9,0,42,205.3,0.28,0,6.08,369.61,196.94,571.2,15.65,0,40.91,0,2.02,7.02,0.02,0,1060.01,11.73
2025-05-28T11:00:00Z,-147.43,0,731.6,0,40,206.03,0.28,0,0,354.79,194.19,591.9,15.8,0,42,0,1.92,7.05,0.02,0,1204.13,2.56
2025-05-28T11:05:00Z,-119.74,0,723.28,0,40,205.79,0.28,0,0,361.76,197.14,604.16,15.77,0,41.12,0,1.92,7.04,0.02,0,1062,2.51
2025-05-28T11:10:00Z,-59.51,0,676.13,-0.1,43,205.47,0.28,0,23.08,350.51,181.02,616.42,15.73,0,38.52,0,2.06,7.03,0.02,0,835.68,47.36
2025-05-28T11:15:00Z,-139.61,0,706.28,0,40,205.63,0.28,0,0.1,368.6,188.16,628.68,15.7,0,40.43,0,1.92,7.04,0.02,0,1012.49,47.36
2025-05-28T11:20:00Z,-189.23,0,716.5,-0.1,40,206.07,0.28,0,0.06,353.97,181.56,640.93,15.67,0,41.46,0,1.92,7.05,0.02,0,1170.98,47.36
2025-05-28T11:25:00Z,-207.06,0,719.02,0,43,205.37,0.28,0,5.9,361.4,179.59,653.19,15.63,0,42.09,0,2.06,7.03,0.02,0,1175.51,11.27
2025-05-28T11:30:00Z,-195.19,0,709.66,0,42,205.47,0.28,0,9.31,369.97,179.67,665.45,15.6,0,41.27,0,2.02,7.03,0.02,0,1064.78,47.36
2025-05-28T11:35:00Z,-233.94,0,732.23,-0.1,40,204.99,0.28,0,0.44,367.44,172.55,681.49,15.67,0,42.52,0,1.92,7.01,0.02,0,1232.98,47.36
2025-05-28T11:40:00Z,-228.21,0,722.15,-0.1,41,205.81,0.28,0,0.11,348.24,175.55,697.52,15.73,0,41.49,0,1.97,7.04,0.02,0,1170.24,47.36
2025-05-28T11:45:00Z,-233.64,0,758.07,-0.1,40,206.53,0.28,0,0,346.9,184.06,713.56,15.8,0,42.94,0,1.92,7.07,0.02,0,1247.8,-17.51
2025-05-28T11:50:00Z,-28.04,0,641.42,-0.1,42,206.49,0.28,0,7.14,324.4,200.41,729.59,15.87,0,36.43,0,2.02,7.06,0.02,0,649.87,47.36
2025-05-28T11:55:00Z,-187.93,0,745.97,-0.1,40,205.42,0.28,0,5.4,299.95,205.24,745.63,15.93,0,41.83,0,1.92,7.03,0.02,0,1073.34,47.36
2025-05-28T12:00:00Z,-218.39,0,759.16,-0.1,42,205.42,0.11,0,2.44,270.66,219.7,761.66,16,0,43.83,0,2.02,7.03,0.01,0,1210.2,47.36
2025-05-28T12:05:00Z,-213.74,0,776.43,0,42,203.91,0.28,0,3.18,239.22,227.24,757.39,16.07,0,46.19,0,2.02,6.98,0.02,0,1371.37,47.36
2025-05-28T12:10:00Z,-192.14,0,766.84,0,41,204.78,0.11,0,1.52,227.28,230.34,753.13,16.13,0,44.94,0,1.97,7.01,0.01,0,1296.2,35.94
2025-05-28T12:15:00Z,-169.64,0,752.61,0,40,205.99,0.11,0,0,211.48,236.41,748.86,16.2,0,43.8,0,1.92,7.05,0.01,0,1216.43,2.56
