date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-06-06 16:20,-8.34,-13.76,0.00,0.00,62.00,45.37,0.45,0.00,0.47,1353.72,206.90,0.00,16.23,0.04,0.00,0.00,2.98,1.52,0.03,0.00,32.71,-21.00
2025-06-06 16:25,-18.15,-27.43,0.00,0.00,60.00,45.37,0.45,0.00,0.34,1408.93,213.57,0.00,16.17,0.07,0.00,0.00,2.88,1.52,0.03,0.00,31.08,-21.00
2025-06-06 16:30,-2.90,-26.59,0.00,0.00,62.00,44.70,0.45,0.00,7.35,1458.58,197.02,309.00,16.10,0.07,0.00,0.00,2.98,1.50,0.03,0.00,25.97,-19.86
2025-06-06 16:35,-21.60,-18.19,0.00,0.00,58.00,44.70,0.45,0.00,0.28,1542.07,146.58,285.40,15.92,0.04,0.00,0.00,2.78,1.50,0.03,0.00,25.13,-21.00
2025-06-06 16:40,-17.08,-8.96,0.00,-0.10,60.00,45.37,0.45,0.00,0.37,1554.54,142.22,261.80,15.73,0.02,0.00,0.00,2.88,1.52,0.03,0.00,25.95,-19.86
2025-06-06 16:45,-16.84,-62.77,0.00,-0.10,62.00,45.37,0.45,0.00,0.79,1671.69,115.15,238.20,15.55,0.15,0.00,0.00,2.98,1.52,0.03,0.00,25.57,-21.00
2025-06-06 16:50,-10.12,-47.06,0.00,-0.10,59.00,45.37,0.45,0.00,0.35,1729.20,66.73,214.61,15.37,0.11,0.00,0.00,2.83,1.52,0.03,0.00,24.91,-19.86
2025-06-06 16:55,-26.86,-31.67,0.00,0.00,59.00,45.37,0.45,0.00,0.27,1765.99,52.49,191.01,15.18,0.07,0.00,0.00,2.83,1.52,0.03,0.00,25.15,-19.86
2025-06-06 17:00,-70.63,-26.41,0.00,-0.10,55.00,45.37,0.45,0.00,0.31,1850.62,41.27,167.41,15.00,0.06,0.00,0.00,2.64,1.52,0.03,0.00,24.05,-21.00
2025-06-06 17:05,-22.89,-48.59,0.00,-0.10,60.00,46.04,0.45,0.00,0.28,1849.65,61.39,147.67,14.97,0.11,0.00,0.00,2.88,1.54,0.03,0.00,24.90,-20.00
